date,title_original,title_yours,url,source,excerpt,relevance_score,category,tags,relevance_reason,source_score,source_tier,source_label,source_notes,decision,your_notes
,Myanmar: how the military junta reinforces media crackdown one ...,Myanmar Junta Intensifies Media Blackout and Threats Against Journalists Ahead of Elections,https://rsf.org/en/myanmar-how-military-junta-reinforces-media-crackdown-one-month-elections,Reporters Without Borders,"“As the polls approach, Myanmar’s military junta is strengthening its policy of information control up to a complete media shutdown. The message is chilling: journalists who seek to freely cover the elections will face harassment, violence, prison and may even be killed. It is time for the internati",10,Shutdown,media_crackdown|journalist_safety|press_freedom|information_control,"The article directly addresses media shutdowns, digital censorship, and the severe risks to journalist safety and press freedom online in Myanmar.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,PUBLISH,
,Human Rights Myanmar report describes the “Great Firewall” of ...,Myanmar Junta Deploys 'Great Firewall' with VPN Blocks and DPI Surveillance to Censor Millions,https://eng.mizzima.com/2024/11/03/15840,eng.mizzima.com,"Myanmar has a long history of censorship and repression, but the combined VPN block and Facebook ban is likely the largest act of censorship ever in the country. In the last three months, according to HRM, “nearly 4 million posts, shares, and comments are effectively missing, each representing an in",10,Censorship,VPN Blocking|Digital Censorship|Surveillance Technology|Press Freedom,"The article directly details VPN blocking, digital censorship via a 'Great Firewall,' the use of Deep Packet Inspection for surveillance, and the impact on freedom of expression and press freedom online.",65,C,Mixed Reliability,Independent outlet with good Myanmar coverage but limited transparency and sourcing details.,PUBLISH,
,Mastermind of China's 'Great Firewall' Powering Myanmar Junta's ...,Report: Architect of China's Great Firewall Aiding Myanmar Junta's Digital Crackdown on VPNs and Online Access,https://www.irrawaddy.com/news/myanmar-china-watch/mastermind-of-chinas-great-firewall-powering-myanmar-juntas-digital-repression-report.html,The Irrawaddy,"Since seizing power in a 2021 coup, the junta has blocked Facebook and other social media apps including Messenger, WhatsApp, Instagram and Signal, forcing Myanmar people to use virtual private networks (VPN) to bypass the restriction. It banned VPN services in 2024, threatening sentences of up to t",10,Surveillance,VPN Blocking|Network Shutdowns|Journalist Safety|Digital Censorship,"The article directly details the junta's use of technology, reportedly from China's 'Great Firewall' architect, to implement digital censorship, block VPNs, and enable surveillance, which are core topics of Myanmar's internet freedom landscape.",84,B,Generally Reliable,Founded 1993. Exiled Thai-based outlet. Strong Myanmar coverage. MBFC: High.,PUBLISH,
,Myanmar Junta Searching Phones for VPN Use - The Irrawaddy,Myanmar Regime Enforces VPN Ban with Physical Phone Searches and Extortion,https://www.irrawaddy.com/news/burma/myanmar-junta-searching-phones-for-vpn-use.html,The Irrawaddy,"In late May, the regime banned the use of VPNs and inspections and extortion have been reported in Yangon, Mandalay, Ayeyarwady, Bago and Magwe",10,Surveillance,VPN Blocking|Digital Censorship|Journalist Digital Safety,"The article directly reports on the junta's enforcement of a VPN ban through physical phone searches, impacting internet freedom, digital safety, and access to information.",84,B,Generally Reliable,Founded 1993. Exiled Thai-based outlet. Strong Myanmar coverage. MBFC: High.,PUBLISH,
,Myanmar: Freedom on the Net 2021 Country Report,"Myanmar's 2020 Internet Crackdown: Over 2,000 Websites Blocked Under Telecom Law",https://freedomhouse.org/country/myanmar/freedom-net/2021,Freedom House,"In March, May, and August 2020, the MoTC had issued a series of directives ordering internet providers to block more than 2,170 websites under Section 77 of the Telecommunications Law. Although the directives were not publicly released, well-known independent and local news outlets and websites base",10,Censorship,website_blocking|telecommunications_law|press_freedom|surveillance_technology,"The article directly details government-ordered website blocking targeting news outlets, which is a core aspect of digital censorship and impacts journalist safety and press freedom online.",91,A,Highly Reliable,US-funded but editorially independent. Rigorous annual methodology.,PUBLISH,
,Myanmar's digital dictatorship - Access Now,Myanmar's Digital Crackdown: VPN Bans and Surveillance Under Military Rule,https://www.accessnow.org/myanmar/,Access Now,"header image: pushing back against IMEI registration in Myanmar

## The world must bring down Myanmar’s digital iron curtain

Today marks three years since Myanmar’s junta seized power in a violent coup. Access Now is calling on the international community to offer resources to resist digital oppres",10,Shutdown,VPN blocking|Digital censorship|Surveillance technology|Journalist digital safety|Network shutdowns,"The article directly addresses Myanmar's VPN ban, digital oppression, and surveillance measures like IMEI registration, which are core issues of internet freedom and digital rights in the country.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,Myanmar Junta's Internet Controls Expose Citizens to More Cyber ...,Myanmar's VPN Crackdown Increases Citizen Vulnerability to Cyber Attacks,https://www.irrawaddy.com/opinion/guest-column/myanmar-juntas-internet-controls-expose-citizens-to-more-cyber-threats.html,The Irrawaddy,Phishing links have spiked as the junta's VPN ban pushes people toward alternatives that expose them to online security risks.,10,VPN Blocking,Internet Controls|Cyber Threats|Digital Safety,"The article directly discusses how the junta's VPN ban compromises online security, directly relating to VPN blocking, digital censorship, and journalist digital safety.",84,B,Generally Reliable,Founded 1993. Exiled Thai-based outlet. Strong Myanmar coverage. MBFC: High.,PUBLISH,
,Proposed internet bill in Myanmar imposes 3-year prison sentences ...,Myanmar's Proposed Cyber Law Threatens Online Press Freedom with VPN Bans and Jail Terms,https://cpj.org/2022/01/proposed-internet-bill-in-myanmar-imposes-3-year-prison-sentences-for-vpn-use/,Committee to Protect Journalists,"“Myanmar authorities must scrap their proposed cybersecurity legislation, which represents an existential threat to free expression online,” said Shawn Crispin, CPJ’s senior Southeast Asia representative. “Myanmar’s junta should promote, not restrict, the online platforms that allow journalists and ",10,Censorship,Legislation|VPN Blocking|Press Freedom|Digital Safety,"The article directly addresses proposed legislation imposing prison sentences for VPN use, the banning of social media, and the threat to journalists' online reporting, covering multiple specified topics.",92,A,Highly Reliable,Journalist safety organisation. Primary source for arrest data.,PUBLISH,
,War on Citizens: How Junta's VPN Ban is Strangling Communication ...,Myanmar Junta's VPN Crackdown Severely Restricts Online Communication and Access,https://www.irrawaddy.com/in-person/interview/war-on-citizens-how-juntas-vpn-ban-is-strangling-communication-in-myanmar.html,The Irrawaddy,"However, the regime recently banned the use of VPN services in the country, and residents are now reporting difficulties accessing Facebook and",10,VPN Blocking,digital censorship|network shutdowns|journalist digital safety|press freedom online,"The article directly addresses the junta's ban on VPNs, its impact on accessing platforms like Facebook, and the broader effect on communication, which are core issues of internet freedom and digital safety in Myanmar.",84,B,Generally Reliable,Founded 1993. Exiled Thai-based outlet. Strong Myanmar coverage. MBFC: High.,PUBLISH,
,Myanmar coup: Military blocks Facebook for sake of 'stability' - BBC,Myanmar Military Blocks Facebook in Post-Coup Crackdown on Digital Information,https://www.bbc.com/news/world-asia-55923486,BBC News,"# Myanmar coup: Military blocks Facebook for sake of 'stability'

Myanmar's military rulers have blocked access to Facebook, days after they overthrew the democratic government.

Officials said the social media platform - for many in Myanmar the main source of online information - would be blocked f",10,Shutdown,Network Shutdowns|Digital Censorship|Press Freedom Online,"The article directly reports on the military blocking Facebook, a primary platform for information and opposition, which is a clear act of digital censorship and a network shutdown impacting internet freedom and press freedom online.",90,A,Highly Reliable,UK public broadcaster. Strong editorial standards. BBC Burmese service.,PUBLISH,
,"Update: internet access, censorship, and the Myanmar coup",Myanmar Coup Update: Internet Access and Social Media Censorship,https://www.accessnow.org/press-release/update-internet-access-censorship-myanmar/,Access Now,"“We are banning the remaining Myanmar military (“Tatmadaw”) and military-controlled state and media entities from Facebook and Instagram, as well as ads from military-linked commercial entities,” said the social media giant in a statement on February 24. “We’re continuing to treat the situation in M",10,Censorship,Internet Shutdowns|Social Media Blocking|Press Freedom,"The article directly addresses internet censorship, platform bans, and the digital safety context following the Myanmar coup.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,Meta and Google must use their powers to stop Myanmar's ...,Myanmar Junta's Planned Ban on Facebook and YouTube Highlights Escalating Digital Crackdown,https://www.accessnow.org/press-release/myanmar-facebook-youtube-ban/,Access Now,"September 20, 2022 — The Myanmar junta’s intensifying control of online spaces must be stopped — Google and Meta must use their powers to intervene. As part of its efforts to dominate and weaponize the internet against people, the military is planning to “ban” Facebook (Meta) and YouTube (Google) ac",10,Shutdown,Network Shutdowns|Digital Censorship|VPN Blocking|Journalist Digital Safety|Press Freedom Online|Surveillance Technology,"The article directly addresses internet platform bans, online censorship, and the weaponization of the internet by the military junta, covering all specified topics.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,Myanmar: Freedom on the Net 2022 Country Report,"Myanmar's Draft Cyber Law Threatens VPNs, Press Freedom, and Internet Control",https://freedomhouse.org/country/myanmar/freedom-net/2022,Freedom House,"In January 2022, the military circulated a revised draft of the Cyber Security Law. The draft undermines due process, eases further blocking, and criminalizes the use of VPNs. The draft would also give the military absolute control over the internet in Myanmar and extend military jurisdiction to for",10,Shutdown,digital censorship|VPN blocking|surveillance technology|press freedom online|journalist digital safety,"The article directly addresses the military's proposed Cyber Security Law, which explicitly targets VPN use, enables blocking, and threatens online press freedom and journalist safety through expanded control and surveillance.",91,A,Highly Reliable,US-funded but editorially independent. Rigorous annual methodology.,PUBLISH,
,Myanmar: Country Profile | Freedom House,Myanmar's Digital Crackdown: Assessing Attacks on Internet Freedom and Online Expression,https://freedomhouse.org/country/myanmar,Freedom House,"Freedom of expression online has been and is increasingly under attack as governments shut off internet connectivity, block social media platforms, and restrict access to websites that host political, social, and religious speech. Protecting freedom of expression will require strong legal and regula",10,Shutdown,Internet Freedom|Digital Censorship|Network Shutdowns|Press Freedom,"The article directly addresses internet freedom, government-imposed connectivity shutdowns, and the blocking of platforms and websites, which are core to the specified topics.",91,A,Highly Reliable,US-funded but editorially independent. Rigorous annual methodology.,PUBLISH,
,Myanmar: Freedom in the World 2026 Country Report,Myanmar's Political and Civil Liberty Scores for 2026,https://freedomhouse.org/country/myanmar/freedom-world/2026,Freedom House,"Just Released: Freedom in the World 2026

Freedom House Logo - Torch next to words Freedom House

## Primary Navigation

## Quicklinks

## Mega Menu

## Myanmar

|  |  |
 --- |
| PR Political Rights | -2 40 |
| CL Civil Liberties | 6 60 |

Myanmar_hero_map

Facebook
Twitter
Email

#### On Myanmar

S",10,Press Freedom Online,Political Rights|Civil Liberties|Press Freedom|Authoritarian Governance|Freedom House,"The Freedom House report provides a comprehensive annual assessment of political rights and civil liberties, which are the foundational categories encompassing internet freedom, digital censorship, journalist safety, and surveillance in Myanmar.",91,A,Highly Reliable,US-funded but editorially independent. Rigorous annual methodology.,PUBLISH,
,Myanmar Junta Launches Street Phone Checks as Cybersecurity ...,Myanmar's Military Expands Digital Control with Street Phone Searches Under New Law,https://www.irrawaddy.com/news/burma/myanmar-junta-launches-street-phone-checks-as-cybersecurity-law-takes-effect.html,The Irrawaddy,"A digital rights advocate said the law violates fundamental human rights, including freedom of expression, the right to access information, and cyber freedoms, while granting the junta legal cover for its suppression.

Since the 2021 coup, the junta has consistently targeted online platforms and soc",10,Surveillance,digital censorship|surveillance technology|journalist digital safety,"The article directly details new on-street phone checks enabled by a cybersecurity law, which is a form of state surveillance and control impacting digital freedoms and safety.",84,B,Generally Reliable,Founded 1993. Exiled Thai-based outlet. Strong Myanmar coverage. MBFC: High.,PUBLISH,
,Resist Myanmar's digital coup - Access Now,Myanmar's Military Escalates Digital Crackdown on Rights and Freedoms,https://www.accessnow.org/press-release/myanmars-digital-coup-statement/,Access Now,"With a year of concerted effort to control and manipulate the online and offline lives of millions of people in Myanmar as groundwork, today, the junta’s digital coup is more violent and aggressive than ever — aimed at crushing remnants of the already razed rights to privacy, expression, information",10,Shutdown,digital censorship|network shutdowns|surveillance technology|journalist digital safety|press freedom online,"The article directly addresses the military junta's aggressive efforts to control online life, including crushing rights to privacy, expression, and information, which encompasses all the specified themes.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,The whole world's watching: resist Myanmar's digital coup,Myanmar's Military Tightens Grip with Digital Crackdown on Communication and Press,https://www.accessnow.org/press-release/resist-myanmars-digital-coup/,Access Now,"“The military junta is systematically ambushing civic space in Myanmar,” said Wai Phyo Mint, Asia Pacific Policy Analyst at Access Now. “Increment by increment, the despotic military is making online spaces inaccessible for the people of Myanmar, and eliminating all means of safe communication and i",10,Shutdown,digital censorship|network shutdowns|journalist digital safety|press freedom online|surveillance technology,"The article directly addresses Myanmar's military junta restricting online spaces, safe communication, and information-sharing, which are core to all the specified topics.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,Myanmar: RSF denounces forced shutdown of independent media,Myanmar Junta Forces Independent Media Outlet to Shut Down and Arrests Journalist,https://rsf.org/en/myanmar-rsf-denounces-forced-shutdown-independent-media,Reporters Without Borders,"Myanmar junta's relentless assault on independent online media outlet Development Media Group (DMG) continues. On October 29,  2023, Htet Aung, a Myanmar journalist working for DMG, was arrested while covering a cultural festival in the western city of Sittwe. A few hours later, soldiers raided DMG’",10,Shutdown,journalist_safety|press_freedom|media_censorship,"The article directly details the forced shutdown of an independent media outlet and the arrest of its journalist by the military junta, which are core components of digital censorship and attacks on press freedom online.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,PUBLISH,
,The story of how press freedom was crushed in six months in Myanmar,Myanmar's Military Crackdown: How Journalists Were Silenced in Six Months,https://rsf.org/en/story-how-press-freedom-was-crushed-six-months-myanmar,Reporters Without Borders,"12 May: Democratic Voice of Burma journalist Min Nyo was sentenced to three years in prison on a charge of “criminal mutiny” under article 505(a) of the penal code. He was the first journalist to be convicted by a military court since the 1 February coup.

24 May: US citizen Danny Fenster, the manag",10,Press freedom online,Journalist digital safety|Digital censorship|Surveillance technology,"The article details the arrest and imprisonment of journalists under specific legal codes, directly illustrating the suppression of press freedom and digital safety in Myanmar.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,PUBLISH,
,Bitter reversal: Myanmar military coup wipes out press freedom gains,Myanmar's Post-Coup Crackdown: Journalist Arrest Highlights Assault on Press Freedom,https://cpj.org/reports/2021/07/bitter-reversal-myanmar-journalists-jailed-imprisoned-military-crackdown/,Committee to Protect Journalists,"Back to top

#### Ah Je

Outlet: Myitkyina News Journal  
Imprisoned: April 14, 2021  
Gender: Male  
Origin: Local  
Medium: Internet, Print  
Job: Internet Reporter, Print Reporter  
Beat: Politics  
Charge: Anti-state, False News  
Sentence: Not Sentenced  
Health Problems Reported: No

Myitkyina",10,Press freedom online,journalist digital safety|surveillance technology|digital censorship,"The article details the arrest of a journalist on anti-state charges, directly illustrating the severe erosion of press freedom and digital safety for reporters in post-coup Myanmar.",92,A,Highly Reliable,Journalist safety organisation. Primary source for arrest data.,PUBLISH,
,"Three journalists sentenced, another arrested in Myanmar's endless ...",Myanmar Sentences and Arrests Journalists Under Digital Security Law,https://rsf.org/en/three-journalists-sentenced-another-arrested-myanmar-s-endless-terror,Reporters Without Borders,"Nominated in November for RSF’s Prize for Courage, Han Thar Nyein was tried in the utmost secrecy yesterday, 26 December, by a court inside Insein prison in the Yangon suburbs and was sentenced to five years in prison for allegedly violating Section 33 (A) of Myanmar’s Electronic Transactions Law.pd",10,Press freedom online,Journalist digital safety|Digital censorship|Surveillance technology,"The article details the sentencing and arrest of journalists under a digital law, directly addressing state suppression of online press freedom and journalist safety.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,SKIP,
,Myanmar's military junta eliminates independent media - RSF,Myanmar Junta Enforces Internet Blackouts to Silence Independent Media,https://rsf.org/en/myanmar-s-military-junta-eliminates-independent-media,Reporters Without Borders,"Finally, the military authorities are now imposing drastic restrictions on access to the Internet, which was the only way to see reliable, independent reporting. Fixed-line Internet is disconnected every night, mobile Internet has been blocked for the past 11 days, and access to public Wi-Fi network",10,Shutdown,internet_shutdown|media_censorship|digital_surveillance|press_freedom,"The article directly details internet restrictions, network shutdowns, and their impact on independent media and access to information.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,PUBLISH,
,Internet Censorship in Myanmar (Burma) - OONI Explorer,Myanmar Internet Censorship and Blocking Data Explorer,https://explorer.ooni.org/country/MM,explorer.ooni.org,"OONI Explorer

FindingsCensorshipCountriesChartsSearch

# mm Myanmar (Burma)

OverviewFindingsReportsWebsitesAppsOutages

OONI Probe users in Myanmar (Burma) have collected 7,237,526 measurements from 97 local networks.

Explore the data below to check the accessibility and/or blocking of sites and ",10,Censorship,internet_censorship|network_measurement|digital_rights|myanmar,"The article is a direct data explorer for network measurements and censorship testing in Myanmar, making it highly relevant to all specified topics of internet freedom, digital censorship, and surveillance.",100,A,Highly Reliable,"OONI is a respected, independent, and transparent open-source project focused on internet measurement and censorship detection.",PUBLISH,
,Internet Censorship around the world - OONI Explorer,OONI Network Measurement Data for Countries Including Myanmar,https://explorer.ooni.org/countries,explorer.ooni.org,"Kyrgyzstan

3545789 measurementsla

Laos

497989 measurementslb

Lebanon

2826308 measurementsmo

Macao SAR China

111908 measurementsmy

Malaysia

43250433 measurementsmv

Maldives

572178 measurementsmn

Mongolia

77776 measurementsmm

Myanmar (Burma)

7233231 measurementsnp

Nepal

1451251 measur",10,Measurement Data,Internet Censorship|Network Measurement|Myanmar,"The article is a direct source of OONI network measurement data for Myanmar, which is the primary tool for documenting and analyzing internet censorship, shutdowns, and blocking.",100,A,Highly Reliable,"OONI is a respected, independent, and transparent open-source project focused on internet measurement and censorship detection.",PUBLISH,
,Investigating Internet shutdowns through Mozilla telemetry | OONI,Analyzing Myanmar's 2021 Internet Blackout with Mozilla Data,https://ooni.org/post/2021-investigating-internet-shutdowns-mozilla-telemetry/,OONI Explorer,"The severity of the second Internet outage on 6th February 2021 is also illustrated in IODA data (below), which shows a major drop in both Active Probing and IBR signals, as well as a drop in the BGP signal correlating in time with the drop in the other signals. This strongly suggests that Myanmar e",10,Shutdown,Internet Shutdown|Network Measurement|Myanmar,"The article directly investigates a major internet outage in Myanmar using telemetry data, making it highly relevant to internet freedom and network shutdowns in the country.",98,A,Highly Reliable,"Independent technical measurement, open methodology, no editorial bias",PUBLISH,
,iMAP State of Internet Censorship Report 2022 - Myanmar | OONI,"Myanmar's Post-Coup Internet: Shutdowns, Throttling, and Censorship in 2022",https://ooni.org/post/2022-state-of-internet-censorship-myanmar/,OONI Explorer,"Regardless, the systematic and nationwide internet shutdowns for 8 hours from 1 am to 9 am was mandated immediately after the military coup took over and lasted for approximately two weeks59 (see figure 2).60 Although internet connections have relatively been restored, the military had continued to ",10,Shutdown,Internet Shutdowns|Digital Censorship|VPN Blocking|Journalist Safety|Surveillance,"The article directly documents systematic internet shutdowns, network throttling, and blocking following the military coup, which are core issues of internet freedom and digital censorship in Myanmar.",98,A,Highly Reliable,"Independent technical measurement, open methodology, no editorial bias",PUBLISH,
,"Myanmar's military should lift Facebook, WhatsApp censorship ...",Myanmar Military Censors Facebook and WhatsApp to Suppress Information Following Coup,https://cpj.org/2021/02/myanmars-military-should-lift-facebook-whatsapp-censorship-enable-news-broadcasts-following-coup/,Committee to Protect Journalists,"Myanmar’s Ministry of Communications said today that Facebook would be blocked until February 7 on the grounds that people were “troubling the country’s stability” by “spreading fake news and misinformation” on the platform, according to international news reports quoting an official letter. Al-Jaze",10,Shutdown,digital censorship|network shutdowns|press freedom online,"The article directly reports on the military's blocking of Facebook and WhatsApp, which are explicit acts of digital censorship and network shutdowns impacting press freedom.",92,A,Highly Reliable,Journalist safety organisation. Primary source for arrest data.,PUBLISH,
,"Myanmar junta blocks Facebook, clamping down on opposition to ...",Myanmar Military Coup Leaders Order Block of Facebook to Silence Opposition,https://www.reuters.com/world/china/myanmar-junta-blocks-facebook-clamping-down-opposition-coup-2021-02-04/,Reuters,"Myanmar's junta blocked Facebook (FB.O) on Thursday, trying to shut off an important channel for opposition to this week's military coup as sporadic protests",10,Shutdown,Network Shutdowns|Digital Censorship|Press Freedom Online,"The article directly reports on the military junta ordering a block of Facebook, a major platform for opposition communication and journalism, which is a definitive act of digital censorship and a network shutdown affecting internet freedom and press freedom online.",95,A,Highly Reliable,Global wire service. Strong editorial standards. Independent.,PUBLISH,
,Myanmar coup: army blocks Facebook access as civil disobedience ...,Myanmar Military Blocks Facebook to Suppress Civil Disobedience and Online Protest Coordination,https://www.theguardian.com/global-development/2021/feb/04/myanmar-coup-army-blocks-facebook-access-as-civil-disobedience-grows,The Guardian,"Facebook, one of the most popular means of communication in Myanmar, has been used to coordinate a civil disobedience campaign that saw health workers at dozens of hospitals walk out of their jobs on Wednesday to protest against the army’s actions. It has also been used to share plans for evening pr",10,Shutdown,network_shutdowns|digital_censorship|press_freedom_online,"The article directly reports on the military blocking access to Facebook, a key platform for communication and protest coordination, which is a clear act of digital censorship and a network shutdown affecting internet freedom and journalist safety.",88,A,Highly Reliable,,PUBLISH,
